Date,Time,Departure,Cost,Lon,Lat
6/24/13,12:30 PM,"L St NE 24, 20002 Washington",$0.00 ,-77.00829,38.90375
6/24/13,12:04 PM,"G Pl NE 23, 20002 Washington",$10.87 ,-77.00854,38.89954
6/19/13,11:09 AM,"Kearney St NE 1366, 20017 Washington",$2.51 ,-76.98647,38.931
6/15/13,8:57 AM,"Irving St NE 1522, 20017 Washington",$5.02 ,-76.98262,38.92901
6/14/13,8:15 AM,"15th St NE 3158, 20017 Washington",$2.09 ,-76.98421,38.92981
6/13/13,5:56 PM,"9th St NE 3421, 20017 Washington",$1.25 ,-76.99361,38.93163
6/13/13,8:12 AM,"Lawrence St NE 1348, 20017 Washington",$3.34 ,-76.98702,38.93177
6/12/13,5:54 PM,"John F McCormack Rd NE 3528, 20017 Washington",$7.11 ,-76.99794,38.94076
6/7/13,8:26 AM,"Irving St NE 1530, 20017 Washington",$2.51 ,-76.9826,38.92901
6/5/13,8:33 AM,"Jackson St NE 1448, 20017 Washington",$2.09 ,-76.98518,38.92987
6/3/13,5:46 PM,"10th St NE 3658, 20017 Washington",$4.18 ,-76.99284,38.93467
6/3/13,1:04 PM,"K St NW 419, 20001 Washington",$4.18 ,-77.01707,38.90253
6/3/13,12:12 PM,"M St NW 89, 20001 Washington",$7.11 ,-77.01171,38.90566
5/17/13,8:46 AM,"Kearney St NE 1422, 20017 Washington",$2.09 ,-76.98482,38.93109
5/10/13,8:04 AM,"15th St NE 3164, 20017 Washington",$2.51 ,-76.98421,38.92982
5/9/13,6:10 PM,"15th St NE 3164, 20017 Washington",$0.00 ,-76.98421,38.92982
5/9/13,5:58 PM,"8th St NE 3357, 20017 Washington",$5.02 ,-76.99493,38.9313
5/9/13,8:28 AM,"Kearney St NE 1420, 20017 Washington",$2.09 ,-76.98531,38.93086
5/8/13,8:02 AM,"Hamlin St NE 1226, 20017 Washington",$1.67 ,-76.98993,38.92765
5/7/13,5:45 PM,"Newton St NE 1114, 20017 Washington",$2.09 ,-76.99125,38.93353
5/1/13,5:51 PM,"John F McCormack Rd NE 3588, 20017 Washington",$4.18 ,-76.99794,38.94076
4/30/13,5:24 PM,"John F McCormack Rd NE 3518, 20017 Washington",$5.85 ,-76.99794,38.94076
4/30/13,8:12 AM,"Kearney St NE 1366, 20017 Washington",$2.09 ,-76.98647,38.931
4/29/13,5:47 PM,"Lawrence St NE 767, 20017 Washington",$2.09 ,-76.99509,38.93137
4/19/13,3:56 PM,"9th St NE, 20017 Washington",$2.51 ,-76.99377,38.93375
4/19/13,8:04 AM,"15th St NE 3164, 20017 Washington",$2.51 ,-76.98421,38.92982
4/18/13,10:57 AM,"15th St NE 3164, 20017 Washington",$10.87 ,-76.98421,38.92982
4/17/13,1:53 PM,"Newton St NE 1120, 20017 Washington",$4.18 ,-76.99124,38.93353
4/17/13,8:06 AM,"15th St NE 3160, 20017 Washington",$2.51 ,-76.98421,38.92981
4/16/13,5:56 PM,"Bunker Hill Rd NE 1036, 20017 Washington",$2.51 ,-76.99268,38.93523
4/16/13,7:58 AM,"15th St NE 3164, 20017 Washington",$2.09 ,-76.98421,38.92982
4/15/13,5:55 PM,"Perry St NE 1144, 20017 Washington",$2.09 ,-76.99103,38.9362
4/15/13,8:50 AM,"Lawrence St NE 1370, 20017 Washington",$1.67 ,-76.98671,38.93178
4/12/13,8:12 AM,"15th St NE 3164, 20017 Washington",$1.67 ,-76.98421,38.92982
4/11/13,6:10 PM,"Oakview Ter NE 3732, 20017 Washington",$2.51 ,-76.99001,38.93551
4/11/13,8:11 AM,"14th St NE 3139, 20017 Washington",$2.09 ,-76.9861,38.9297
3/28/13,5:49 PM,"12th St NE 3364, 20017 Washington",$2.09 ,-76.9909,38.9312
3/26/13,8:39 AM,"14th St NE 3138, 20017 Washington",$1.67 ,-76.9861,38.92921
3/19/13,6:22 PM,"15th St NE 3160, 20017 Washington",$5.85 ,-76.98421,38.92981
3/19/13,5:54 PM,"Otis St NE 1076, 20017 Washington",$4.18 ,-76.99136,38.93452
3/19/13,8:06 AM,"15th St NE 3160, 20017 Washington",$1.67 ,-76.98421,38.92981
3/18/13,6:13 PM,"10th St NE 3320, 20017 Washington",$1.67 ,-76.99253,38.93107
3/15/13,5:58 PM,"9th St NE 3416, 20017 Washington",$1.67 ,-76.99387,38.93194
3/14/13,5:31 PM,"K St NW 766, 20001 Washington",$10.03 ,-77.02255,38.90208
3/13/13,5:44 PM,"9th St NE, 20017 Washington",$2.09 ,-76.99377,38.93375
3/13/13,8:46 AM,"Jackson St NE 1440, 20017 Washington",$2.51 ,-76.98522,38.92987
3/11/13,6:07 PM,"Leona St 1966, 78722 Austin",$0.87 ,-97.7234,30.2804
3/11/13,11:29 AM,"Leona St 2200, 78722 Austin",$16.09 ,-97.72417,30.28267
3/9/13,6:26 PM,"Leona St 2116, 78722 Austin",$5.68 ,-97.72384,30.28242
3/9/13,4:31 PM,"E 4th St 445, 78701 Austin",$6.99 ,-97.73948,30.26511
3/9/13,2:15 PM,"Leona St 2006, 78722 Austin",$15.73 ,-97.72362,30.281
3/7/13,6:04 PM,"9th St NE 3478, 20017 Washington",$1.67 ,-76.9937,38.93234
3/7/13,8:43 AM,"14th St NE 3134, 20017 Washington",$2.09 ,-76.9861,38.92917
3/5/13,6:05 PM,"9th St NE 3473, 20017 Washington",$1.67 ,-76.99365,38.93214
3/5/13,8:09 AM,"15th St NE 3164, 20017 Washington",$1.67 ,-76.98421,38.92982
3/4/13,5:45 PM,"John F McCormack Rd NE 3524, 20017 Washington",$3.34 ,-76.99794,38.94076
2/27/13,12:55 PM,"Jackson St NE 1452, 20017 Washington",$6.27 ,-76.98512,38.92987
2/26/13,5:18 PM,"12th St NE 3121, 20017 Washington",$1.25 ,-76.99048,38.92929
2/25/13,8:06 AM,"Kearney St NE 1420, 20017 Washington",$1.67 ,-76.98531,38.93086
2/22/13,8:32 AM,"Kearney St NE 1250, 20017 Washington",$1.67 ,-76.98926,38.93093
2/21/13,5:51 PM,"Otis St NE 1065, 20017 Washington",$2.09 ,-76.99141,38.93449
2/20/13,6:04 PM,"10th St NE 3468, 20017 Washington",$1.67 ,-76.99263,38.93234
2/20/13,7:54 AM,"Jackson St NE 1420, 20017 Washington",$2.09 ,-76.98534,38.92986
2/19/13,5:58 PM,"10th St NE 3560, 20017 Washington",$2.09 ,-76.99269,38.93306
2/19/13,8:13 AM,"14th St NE 3159, 20017 Washington",$1.67 ,-76.9861,38.92974
2/15/13,5:59 PM,"9th St NE 3468, 20017 Washington",$5.43 ,-76.9937,38.93232
2/15/13,8:13 AM,"15th St NE 3158, 20017 Washington",$2.09 ,-76.98421,38.92981
2/14/13,6:03 PM,"9th St NE 3469, 20017 Washington",$2.09 ,-76.99365,38.9321
2/14/13,7:59 AM,"15th St NE 3164, 20017 Washington",$2.93 ,-76.98421,38.92982
2/13/13,8:17 PM,"Rhode Island Ave NE 827, 20018 Washington",$2.09 ,-76.99444,38.92174
2/13/13,8:29 AM,"15th St NE 3158, 20017 Washington",$1.67 ,-76.98421,38.92981
2/12/13,8:04 PM,"15th St NE 3158, 20017 Washington",$4.60 ,-76.98421,38.92981
2/12/13,7:52 PM,"Irving St NE 1536, 20017 Washington",$1.25 ,-76.98258,38.92901
2/10/13,12:15 PM,"Hamlin St NE 1352, 20017 Washington",$10.87 ,-76.98621,38.92784
2/8/13,6:04 PM,"10th St NE 3524, 20017 Washington",$4.18 ,-76.99266,38.9327
2/8/13,8:23 AM,"15th St NE 3164, 20017 Washington",$2.09 ,-76.98421,38.92982
2/7/13,5:59 PM,"10th St NE 3662, 20017 Washington",$2.09 ,-76.99285,38.9347
2/6/13,5:46 PM,"7th St NE 3279, 20017 Washington",$5.02 ,-76.99616,38.93034
2/6/13,8:04 AM,"15th St NE 3160, 20017 Washington",$2.51 ,-76.98421,38.92981
2/5/13,6:01 PM,"Monroe St NE 1042, 20017 Washington",$1.67 ,-76.99143,38.93253
2/5/13,8:09 AM,"15th St NE 3164, 20017 Washington",$2.93 ,-76.98421,38.92982
2/4/13,6:14 PM,"9th St NE 3464, 20017 Washington",$2.09 ,-76.9937,38.93231
2/4/13,8:05 AM,"15th St NE 2938, 20017 Washington",$2.09 ,-76.98404,38.9277
2/1/13,6:02 PM,"Monroe St NE 929, 20017 Washington",$2.93 ,-76.99334,38.93241
2/1/13,9:02 AM,"15th St NE 3168, 20017 Washington",$2.51 ,-76.98421,38.92983
1/31/13,6:09 PM,"Monroe St NE 933, 20017 Washington",$2.51 ,-76.9933,38.93241
